name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
The Shining,R,Drama,1980,"June 13, 1980",0.8783783783783784,0.38624104934863634,Stanley Kubrick,Stephen King,Jack Nicholson,United Kingdom,0.053362809237156486,0.01650664001273646,Warner Bros.,0.2739273927392739
The Blue Lagoon,R,Adventure,1980,"July 2, 1980",0.527027027027027,0.02706914475836106,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,United States,0.012632128922434739,0.02067007880282503,Columbia Pictures,0.1353135313531353
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,"June 20, 1980",0.9189189189189187,0.49999270822699504,Irvin Kershner,Leigh Brackett,Mark Hamill,United States,0.05055379680165844,0.18908614782253858,Lucasfilm,0.20132013201320134
Airplane!,PG,Comedy,1980,"July 2, 1980",0.7837837837837837,0.09207009268885172,Jim Abrahams,Jim Abrahams,Robert Hays,United States,0.009823116486936687,0.02931015904733095,Paramount Pictures,0.08250825082508254
Caddyshack,R,Comedy,1980,"July 25, 1980",0.7297297297297296,0.04498607271356041,Harold Ramis,Brian Doyle-Murray,Chevy Chase,United States,0.016845647575681817,0.013994588624736463,Orion Pictures,0.11551155115511555
Friday the 13th,R,Horror,1980,"May 9, 1980",0.6081081081081081,0.051236163860722966,Sean S. Cunningham,Victor Miller,Betsy Palmer,United States,0.0015365298022174344,0.013962366960919743,Paramount Pictures,0.10561056105610564
The Blues Brothers,R,Action,1980,"June 20, 1980",0.8108108108108109,0.07831989216509408,John Landis,Dan Aykroyd,John Belushi,United States,0.0758349087211409,0.04047054075758726,Universal Pictures,0.23102310231023102
Raging Bull,R,Biography,1980,"December 19, 1980",0.8513513513513512,0.13748742169156633,Martin Scorsese,Jake LaMotta,Robert De Niro,United States,0.05055379680165844,0.00821921213384319,Chartoff-Winkler Productions,0.21782178217821782
Superman II,PG,Action,1980,"June 19, 1981",0.6621621621621621,0.04206936351155121,Richard Lester,Jerry Siegel,Gene Hackman,United States,0.1516782444795883,0.03799650645839161,Dovemead Films,0.21122112211221125
The Long Riders,R,Biography,1980,"May 16, 1980",0.6891891891891891,0.004152143885431663,Walter Hill,Bill Bryden,David Carradine,United States,0.028081697317674025,0.005547423927552075,United Artists,0.12211221122112212
Any Which Way You Can,PG,Action,1980,"December 17, 1980",0.5675675675675674,0.00748552583058503,Buddy Van Horn,Stanford Sherman,Clint Eastwood,United States,0.042126759495164284,0.02482645954427707,The Malpaso Company,0.17491749174917495
The Gods Must Be Crazy,PG,Adventure,1980,"October 26, 1984",0.7297297297297296,0.022485744583775183,Jamie Uys,Jamie Uys,N!xau,South Africa,0.014036635140183764,0.010547551956536423,C.A.T. Films,0.15181518151815185
Popeye,PG,Adventure,1980,"December 12, 1980",0.45945945945945943,0.012485598748315079,Robert Altman,Jules Feiffer,Robin Williams,United States,0.05617182167265454,0.017498568741460444,Paramount Pictures,0.16831683168316833
Ordinary People,R,Drama,1980,"September 19, 1980",0.7837837837837837,0.020402380868054328,Robert Redford,Judith Guest,Donald Sutherland,United States,0.016845647575681817,0.019234943534525647,Paramount Pictures,0.20132013201320134
Dressed to Kill,R,Crime,1980,"July 25, 1980",0.7027027027027026,0.015402307950324276,Brian De Palma,Brian De Palma,Michael Caine,United States,0.018250153793430843,0.011203349548144085,Filmways Pictures,0.1353135313531353
Somewhere in Time,PG,Drama,1980,"October 3, 1980",0.7162162162162161,0.011235580518882567,Jeannot Szwarc,Richard Matheson,Christopher Reeve,United States,0.01431753638373357,0.003410063043891073,Rastar Pictures,0.13201320132013203
Fame,R,Drama,1980,"May 16, 1980",0.635135135135135,0.008735544060017541,Alan Parker,Christopher Gore,Eddie Barth,United States,0.10031968594957656,0.0074466768201088855,Metro-Goldwyn-Mayer (MGM),0.23432343234323436
9 to 5,PG,Comedy,1980,"December 19, 1980",0.6756756756756757,0.012068926005170908,Colin Higgins,Patricia Resnick,Jane Fonda,United States,0.028081697317674025,0.0362808063812419,IPC Films,0.15181518151815185
The Fog,R,Horror,1980,"February 8, 1980",0.6621621621621621,0.027485817501505232,John Carpenter,John Carpenter,Adrienne Barbeau,United States,0.0028005853981915574,0.007533059594606268,AVCO Embassy Pictures,0.08580858085808582
Stir Crazy,R,Comedy,1980,"December 12, 1980",0.6621621621621621,0.010818907775738396,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,United States,0.10031968594957656,0.035578132262292055,Columbia Pictures,0.15841584158415842
Cruising,R,Crime,1980,"February 15, 1980",0.6216216216216216,0.008318871316873372,William Friedkin,William Friedkin,Al Pacino,West Germany,0.030890709753172076,0.006959080717880561,Lorimar Film Entertainment,0.12871287128712874
Heaven's Gate,R,Adventure,1980,"April 24, 1981",0.6621621621621621,0.005818834858008347,Michael Cimino,Michael Cimino,Kris Kristofferson,United States,0.12358812012460778,0.0012237137675190901,Partisan Productions,0.5148514851485149
The Final Countdown,PG,Action,1980,"August 1, 1980",0.6486486486486486,0.009152216803161712,Don Taylor,Thomas Hunter,Kirk Douglas,United States,0.03369972218867012,0.005846875057430498,Bryna Productions,0.13201320132013203
Xanadu,PG,Fantasy,1980,"August 8, 1980",0.45945945945945943,0.004985489371720005,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,United States,0.05617182167265454,0.007994484090034832,Universal Pictures,0.10891089108910892
Urban Cowboy,PG,Drama,1980,"June 6, 1980",0.6081081081081081,0.005818834858008347,James Bridges,Aaron Latham,John Travolta,United States,0.10031968594957656,0.01647837234531455,Paramount Pictures,0.22772277227722773
Altered States,R,Horror,1980,"December 25, 1980",0.6756756756756757,0.013735616977747592,Ken Russell,Paddy Chayefsky,William Hurt,United States,0.10031968594957656,0.006972907763898245,Warner Bros.,0.12871287128712874
Little Darlings,R,Comedy,1980,"March 21, 1980",0.6216216216216216,0.0021104474440252255,Ron Maxwell,Kimi Peck,Tatum O'Neal,United States,0.10031968594957656,0.012055839670305624,Stephen Friedman/Kings Road Productions,0.10891089108910892
Raise the Titanic,PG,Action,1980,"August 1, 1980",0.41891891891891886,0.0016937747008810545,Jerry Jameson,Adam Kennedy,Jason Robards,United Kingdom,0.10111602064062337,0.027743737806663903,ITC Films,0.1716171617161716
Brubaker,R,Crime,1980,"June 20, 1980",0.7162162162162161,0.007068853087440859,Stuart Rosenberg,W.D. Richter,Robert Redford,United States,0.025272684882175975,0.01303765125387516,Twentieth Century Fox,0.22442244224422445
American Gigolo,R,Crime,1980,"February 1, 1980",0.581081081081081,0.009152216803161712,Paul Schrader,Paul Schrader,Richard Gere,United States,0.013474832653084154,0.007987847150092334,Paramount Pictures,0.17821782178217824
My Bodyguard,PG,Comedy,1980,"September 26, 1980",0.7027027027027026,0.0036938038679730748,Tony Bill,Alan Ormsby,Chris Makepeace,United States,0.10031968594957656,0.007896277257744989,Twentieth Century Fox,0.12871287128712874
