name,rating,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,BxR,budget_per_vote
The Shining,8,1980,"June 13, 1980",0.8783783783783783,0.3862410493486363,Stanley Kubrick,Stephen King,Jack Nicholson,0.10668074993398469,0.0533628092371564,0.0165066400127364,0.04396620015843676,0.2739273927392739,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.01567042225906047,0.038494610488003074
The Blue Lagoon,8,1980,"July 2, 1980",0.527027027027027,0.027069144758361,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,0.7190388170055453,0.0126321289224347,0.020670078802825,0.04383416952733034,0.1353135313531353,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02041222889581877,0.012299200094660291
Star Wars: Episode V - The Empire Strikes Back,2,1980,"June 20, 1980",0.9189189189189187,0.499992708226995,Irvin Kershner,Leigh Brackett,Mark Hamill,0.7190388170055453,0.0505537968016584,0.1890861478225385,0.0013203063110641669,0.2013201320132013,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.17998711574618906,0.03370269503604017
Airplane!,2,1980,"July 2, 1980",0.7837837837837839,0.0920700926888517,Jim Abrahams,Jim Abrahams,Robert Hays,0.7190388170055453,0.0098231164869366,0.0293101590473309,0.04224980195405334,0.0825082508250825,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.029025042672124312,0.008994950555555012
Caddyshack,8,1980,"July 25, 1980",0.7297297297297297,0.0449860727135604,Harold Ramis,Brian Doyle-Murray,Chevy Chase,0.7190388170055453,0.0168456475756818,0.0139945886247364,0.007921837866385001,0.1155115511551155,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.013762746251706615,0.01612045176060383
Friday the 13th,8,1980,"May 9, 1980",0.6081081081081081,0.0512361638607229,Sean S. Cunningham,Victor Miller,Betsy Palmer,0.7190388170055453,0.0015365298022174,0.0139623669609197,0.04224980195405334,0.1056105610561056,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.013940946281487083,0.0014616409281187678
The Blues Brothers,8,1980,"June 20, 1980",0.8108108108108107,0.078319892165094,John Landis,Dan Aykroyd,John Belushi,0.7190388170055453,0.0758349087211409,0.0404705407575872,0.04977554792711909,0.231023102310231,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.037617798446134325,0.07032691251654138
Raging Bull,8,1980,"December 19, 1980",0.8513513513513512,0.1374874216915663,Martin Scorsese,Jake LaMotta,Robert De Niro,0.7190388170055453,0.0505537968016584,0.0082192121338431,0.00039609189331925006,0.2178217821782178,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.007823694663582148,0.044443389735667985
Superman II,2,1980,"June 19, 1981",0.6621621621621622,0.0420693635115512,Richard Lester,Jerry Siegel,Gene Hackman,0.7190388170055453,0.1516782444795883,0.0379965064583916,0.0002640612622128334,0.2112211221122112,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.032992293325434116,0.14555484480271544
The Long Riders,8,1980,"May 16, 1980",0.6891891891891891,0.0041521438854316,Walter Hill,Bill Bryden,David Carradine,0.7190388170055453,0.028081697317674,0.005547423927552,0.005413255875363085,0.1221122112211221,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0053958979544384035,0.027965580204824
