name,rating,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,star_avg_score,release_month,release_quarter,is_sequel
The Garbage Pail Kids Movie,2,1987,1987-08-22,0.0945945945945946,0.0031521293018856,Rod Amateau,Linda Palmer,Anthony Newley,0.7190388170055453,0.0028005853981915,0.0005536248215588,0.0014523369421705,0.1221122112211221,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0945945945945946,8,3,0
Harry and the Hendersons,2,1987,1987-06-05,0.554054054054054,0.0133189442346034,William Dear,William Dear,John Lithgow,0.7190388170055453,0.028081697317674,0.0175602339458497,0.0014523369421705,0.1551155115511551,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5810810810810811,6,2,0
War of the Buttons,2,1994,1995-09-29,0.7432432432432432,0.001693774700881,John Roberts,Louis Pergaud,Gregg Fitzgerald,0.1066807499339846,0.1003196859495765,4.356139392855684e-06,0.0007921837866385,0.1023102310231023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7432432432432432,9,3,0
Savior,8,1998,1998-11-20,0.7297297297297297,0.0045688166285758,Predrag Antonijevic,Robert Orr,Dennis Quaid,0.7190388170055453,0.028081697317674,4.923705405824707e-06,0.0005281225244256,0.132013201320132,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.5735735735735736,11,4,0
Amélie,8,2001,2002-02-08,0.8648648648648649,0.2987397732883604,Jean-Pierre Jeunet,Guillaume Laurant,Audrey Tautou,0.0349881172432004,0.028081697317674,0.0611105627956698,0.0001320306311064,0.1947194719471947,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8648648648648649,2,1,0
Veer-Zaara,5,2004,2004-11-12,0.7972972972972973,0.0208190536111984,Yash Chopra,Aditya Chopra,Shah Rukh Khan,0.0080538684974914,0.0196546600111798,0.0024187977633097,0.0002640612622128,0.4257425742574257,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.7837837837837837,11,4,0
A Home of Our Own,2,1993,1993-11-05,0.7027027027027025,0.0012354346834224,Tony Bill,Patrick Sheane Duncan,Kathy Bates,0.7190388170055453,0.0336997221886701,0.0005891651309551,0.0013203063110641,0.1353135313531353,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7837837837837839,11,4,0
Blade Runner 2049,8,2017,2017-10-06,0.8243243243243242,0.202488369622057,Denis Villeneuve,Hampton Fancher,Harrison Ford,0.7190388170055453,0.4213434382874013,0.0910824876581593,0.0034327964087668,0.3333333333333333,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6559684684684685,10,4,0
The Call of the Wild,2,2020,2020-02-21,0.6621621621621622,0.0174856716660451,Chris Sanders,Michael Green,Harrison Ford,0.0246897280168999,0.3792082517549305,0.0390219855033005,0.0001320306311064,0.1221122112211221,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6627027027027026,2,1,0
Seraphim Falls,8,2006,2007-04-13,0.6486486486486487,0.012485598748315,David Von Ancken,David Von Ancken,Pierce Brosnan,0.7190388170055453,0.0505537968016584,0.0004283960870995,0.000660153155532,0.1716171617161716,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5995085995085995,4,2,0
