name,rating,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,release_month,release_quarter,is_sequel
Seraphim Falls,8,2006,2007-04-13,0.6486486486486487,0.012485598748315,David Von Ancken,David Von Ancken,Pierce Brosnan,0.7190388170055453,0.0505537968016584,0.0004283960870995,0.000660153155532,0.1716171617161716,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,0
Green Room,8,2015,2016-05-13,0.6891891891891891,0.046652763686137,Jeremy Saulnier,Jeremy Saulnier,Anton Yelchin,0.7190388170055453,0.0140366351401837,0.0013237019703644,0.0003960918933192,0.1056105610561056,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5,2,0
Carol,8,2015,2016-01-15,0.7162162162162162,0.0499861456312904,Todd Haynes,Phyllis Nagy,Cate Blanchett,0.1066807499339846,0.0331379197015705,0.0141441334887389,0.0039609189331925,0.1815181518151815,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,1,0
Divine Secrets of the Ya-Ya Sisterhood,6,2002,2002-06-07,0.5675675675675674,0.0079021985737292,Callie Khouri,Rebecca Wells,Sandra Bullock,0.7190388170055453,0.0758349087211409,0.0259334577163148,0.0005281225244256,0.1749174917491749,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6,2,0
Moscow Does Not Believe in Tears,2,1980,1980-02-11,0.8378378378378377,0.00498548937172,Vladimir Menshov,Valentin Chernykh,Vera Alentova,0.0002640612622128,0.0025196841546417,0.0277437378066639,0.0001320306311064,0.2871287128712871,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,1,0
Zero Effect,8,1998,1998-01-30,0.6756756756756757,0.0058188348580083,Jake Kasdan,Jake Kasdan,Bill Pullman,0.7190388170055453,0.0140366351401837,0.0007330459249755,0.0077898072352785,0.1749174917491749,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0
Big Night,8,1996,1996-09-20,0.7297297297297297,0.007485525830585,Campbell Scott,Stanley Tucci,Tony Shalhoub,0.7190388170055453,0.0115085239482355,0.0042174323704547,0.0010562450488513,0.1518151815181518,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9,3,0
Quick Change,8,1990,1990-07-13,0.6621621621621622,0.0083188713168733,Howard Franklin,Jay Cronley,Bill Murray,0.7190388170055453,0.0421267594951642,0.005359510758153,0.0001320306311064,0.0858085808580858,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7,3,0
Apocalypto,8,2006,2006-12-08,0.7972972972972973,0.1237372211678086,Mel Gibson,Mel Gibson,Gerardo Taracena,0.7190388170055453,0.1123520703826155,0.0423823310288352,0.000660153155532,0.2508250825082508,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,4,0
A Bigger Splash,8,2015,2016-05-13,0.6081081081081081,0.0116522532620267,Luca Guadagnino,David Kajganich,Tilda Swinton,0.0076577766041721,0.1003196859495765,0.0026500868842766,0.0003960918933192,0.2046204620462046,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5,2,0
